,name,total_sent,e_sent,percent,type
0,ABP,737,305,41.38398914518318,pf
1,AIA,2503,602,24.05113863363963,ins
2,AIIB,151,63,41.72185430463576,ab
3,AP Fonden 1,2447,371,15.161422149570903,pf
4,AP Fonden 2,3556,1540,43.30708661417323,pf
5,AP Fonden 3,3512,764,21.753986332574033,pf
6,AP Fonden 4,3380,738,21.83431952662722,pf
7,AP Fonden 7,1830,696,38.0327868852459,pf
8,AXA,18883,2124,11.248212678070221,ins
9,AXA IM,913,496,54.326396495071194,am
10,Aegon,7485,599,8.002672010688043,am
11,Allianz,675,265,39.25925925925926,am
12,Ameriprise,738,128,17.344173441734416,am
13,Asahi Life,479,34,7.09812108559499,ins
14,Ashmore,824,222,26.941747572815533,am
15,Aviva,1057,328,31.031220435193944,am
16,BDO,1393,443,31.80186647523331,ab
17,BEA,701,185,26.390870185449355,ab
18,BNI,1179,384,32.56997455470738,ab
19,BNP Paribas,624,118,18.91025641025641,am
20,BNY Mellon,1088,202,18.566176470588236,am
21,BOC,3199,245,7.658643326039387,ab
22,BOCHK,1996,560,28.0561122244489,am
23,BOCOM,297,103,34.68013468013468,am
24,BRI,862,295,34.222737819025525,ab
25,Bangkok Bank,1092,262,23.992673992673993,ab
26,Barings,204,66,32.35294117647059,am
27,BlackRock,1928,559,28.99377593360996,am
28,BofA,3473,202,5.816297149438525,am
29,CCB,617,187,30.30794165316045,ab
30,CICC,4938,356,7.209396516808425,am
31,CIMB,5739,1438,25.056630074925945,ab
32,CITIC Capital,46,18,39.130434782608695,am
33,CMB,1473,338,22.946367956551256,ab
34,CMBC,2012,492,24.45328031809145,am
35,CNCBI,903,194,21.483942414174972,ab
36,CPP,2375,969,40.8,pf
37,CalPERS,460,55,11.956521739130435,pf
38,CalSTRS,371,83,22.371967654986523,pf
39,Capital Group,63,5,7.936507936507936,am
40,Cathay Life,320,82,25.624999999999996,ins
41,Chong Hing,370,93,25.135135135135133,ab
42,CitiBank,234,144,61.53846153846154,ab
43,Credit Suisse,1380,422,30.579710144927535,am
44,DBS,996,315,31.626506024096386,ab
45,DGB,1837,285,15.514425694066414,ins
46,Dah Sing,248,66,26.61290322580645,ab
47,Daiichi Life,1860,779,41.88172043010753,ins
48,Deutsche,87,51,58.620689655172406,am
49,E Fund,88,28,31.818181818181817,am
50,Edward Jones,529,201,37.99621928166352,am
51,Everbright,210,58,27.61904761904762,am
52,FDC,628,405,64.49044585987261,pf
53,FWD,298,36,12.080536912751679,ins
54,Fidelity,728,269,36.95054945054945,am
55,First Sentier,844,238,28.199052132701425,am
56,Fisch,70,11,15.714285714285714,am
57,Fukoku Life,583,67,11.49228130360206,ins
58,Fullerton,43,21,48.837209302325576,am
59,Future Fund,4449,399,8.96830748482805,pf
60,GAM,75,23,30.666666666666664,am
61,GEPF,2821,242,8.57851825593761,pf
62,GPF,2562,932,36.377829820452774,pf
63,GPIF,1469,902,61.402314499659624,pf
64,Goldman Sachs,1054,270,25.616698292220114,am
65,HSBC,6661,538,8.076865335535205,ab
66,Hana Bank,876,208,23.74429223744292,ab
67,Hang Seng,2665,509,19.099437148217635,am
68,Hong Leong,1685,241,14.3026706231454,ab
69,ICBC,790,204,25.82278481012658,ab
70,ISIF,107,46,42.99065420560748,pf
71,Insight,574,174,30.313588850174217,am
72,Invesco,1624,480,29.55665024630542,am
73,JP Insurance,585,136,23.247863247863247,ins
74,JPMorgan Chase,1432,365,25.488826815642458,am
75,KB Financial,2281,568,24.90135905304691,ins
76,KTB,3392,804,23.702830188679243,ab
77,Kyobo Life,1987,424,21.338701560140915,ins
78,L&G,726,274,37.74104683195592,am
79,MUFG,2349,797,33.92933163048106,ab
80,Manulife,852,277,32.51173708920187,am
81,Maybank,4057,694,17.10623613507518,ab
82,Meiji Yasuda,2171,358,16.490096729617687,ins
83,Morgan Stanley,1846,502,27.193932827735644,am
84,Muzinich,225,80,35.55555555555556,am
85,NB,664,185,27.86144578313253,am
86,NPS,2000,317,15.85,pf
87,Nan Shan Life,881,185,20.998864926220204,ins
88,Ninety One,734,196,26.70299727520436,am
89,Nippon Life,4473,595,13.302034428794993,ins
90,OCBC,1144,313,27.36013986013986,ab
91,PGIM,464,166,35.775862068965516,am
92,PIMCO,380,175,46.05263157894737,am
93,PSBC,939,286,30.45793397231097,ab
94,Pictet,364,118,32.417582417582416,am
95,Ping An,2313,644,27.842628620838738,ins
96,Prudential,1543,363,23.52559948152949,ins
97,RHB,4059,810,19.955654101995567,ab
98,SBI,698,161,23.065902578796564,ab
99,SCB,913,330,36.144578313253014,ab
100,Schroders,587,182,31.005110732538334,am
101,Shin Kong,3314,670,20.217260108630054,ins
102,Shinhan,631,176,27.892234548335974,ab
103,Sinopac,6340,1394,21.98738170347003,am
104,Standard Life,510,167,32.745098039215684,am
105,SuMi TRUST,3142,1187,37.77848504137492,am
106,Sun Life,2409,972,40.34869240348692,ins
107,T. Rowe Price,489,153,31.28834355828221,am
108,TIAA,421,137,32.541567695961994,am
109,Taiwan Life,340,81,23.823529411764703,ins
110,Tokio Marine,4991,2127,42.61671007814065,ins
111,UBS,4534,1466,32.33348037053375,am
112,UOB,1355,411,30.33210332103321,ab
113,UOB AM,40,23,57.49999999999999,am
114,Value Partners,2546,168,6.598586017282011,am
115,Vanguard,545,97,17.79816513761468,am
116,Wellington,537,120,22.3463687150838,am
